outlet,phase,Pakistan,Oman,Qatar,Turkey,Egypt,UK,China,UN,Saudi_Arabia
dawn,post,0.269,0.002,0.042,0.02,0.015,0.032,0.055,0.036,0.128
dawn,pre,0.395,0.045,0.04,0.051,0.012,0.094,0.096,0.067,0.055
guardian,post,0.269,0.057,0.004,0.003,0.003,0.184,0.022,0.006,0.032
guardian,pre,0.121,0.018,0.03,0.016,0.011,0.401,0.022,0.035,0.04
