outlet,phase,pos_edges,PAK_flat,rank_flat,PAK_gold,rank_gold,PAK_gold_brokering,PAK_gf,PAK_infl
dawn,post,650,0.314,3,0.269,3,0.2,364.0,0.08
dawn,pre,776,0.379,1,0.395,2,0.689,469.0,0.091
guardian,post,396,0.266,3,0.269,3,0.444,38.0,0.033
guardian,pre,340,0.07,6,0.121,5,0.732,8.0,0.007
